step,time_seconds,total_vehicles,north_queue,south_queue,east_queue,west_queue,north_speed,south_speed,east_speed,west_speed,north_wait,south_wait,east_wait,west_wait,north_vehicles,south_vehicles,east_vehicles,west_vehicles,avg_speed_kmh,avg_waiting_time,max_waiting_time,halting_count,cars,trucks,buses,motorcycles,emergency_vehicles,emergency_detected,emergency_direction,emergency_direction_name,emergency_priority,emergency_distance,emergency_vehicle_id,emergency_type,north_congestion,south_congestion,east_congestion,west_congestion
0,0,4,4,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,4,0,0,0,0.0,0.0,0.0,4,4,0,0,0,0,0,0,none,0,999.0,,,22,20,20,20
1,1,4,4,0,0,0,6.82206159377005,0.0,0,0,0.0,0.0,0,0,4,0,0,0,6.82206159377005,0.0,0.0,0,4,0,0,0,0,0,0,none,0,999.0,,,37,20,20,20
2,2,5,5,0,0,0,11.77711767711304,0.0,0,0,0.0,0.0,0,0,5,0,0,0,11.77711767711304,0.0,0.0,1,5,0,0,0,0,0,0,none,0,999.0,,,35,20,20,20
3,3,8,8,0,0,0,11.76411812983524,0.0,0,0,0.0,0.0,0,0,8,0,0,0,11.76411812983524,0.0,0.0,3,8,0,0,0,0,0,0,none,0,999.0,,,36,20,20,20
4,4,10,10,0,0,0,15.377256656877332,0.0,0,0,0.0,0.0,0,0,10,0,0,0,15.377256656877332,0.0,0.0,2,10,0,0,0,0,0,0,none,0,999.0,,,35,20,20,20
5,5,10,10,0,0,0,22.040917452224168,0.0,0,0,0.0,0.0,0,0,10,0,0,0,22.040917452224168,0.0,0.0,0,10,0,0,0,0,0,0,none,0,999.0,,,31,20,20,20
6,6,12,12,0,0,0,24.37836249579364,0.0,0,0,0.0,0.0,0,0,12,0,0,0,24.37836249579364,0.0,0.0,2,12,0,0,0,0,0,0,none,0,999.0,,,30,20,20,20
7,7,15,15,0,0,0,23.701589939588928,0.0,0,0,0.0,0.0,0,0,15,0,0,0,23.701589939588928,0.0,0.0,3,15,0,0,0,0,0,0,none,0,999.0,,,33,20,20,20
8,8,16,16,0,0,0,26.50871760228206,0.0,0,0,0.0,0.0,0,0,16,0,0,0,26.50871760228206,0.0,0.0,1,16,0,0,0,0,0,0,none,0,999.0,,,31,20,20,20
9,9,19,19,0,0,0,26.50510295373132,0.0,0,0,0.0,0.0,0,0,19,0,0,0,26.50510295373132,0.0,0.0,3,16,0,0,3,0,0,0,none,0,999.0,,,33,20,20,20
